"연번","비상소화장치일련번호","일련번호","X좌표","Y좌표","비상소화장치고유번호","사용구분","삭제여부","업데이트날짜"
"303","110081556","214","201834.25542562","555253.98955881","94","52201","N","20230210120006"
"304","110081559","216","201407.87483997","555314.24751506","97","52201","N","20230114120003"
"305","110081560","217","200230.18956023","554478.99517543","98","52201","N","20230210120006"
"306","110081561","218","200673.23260465","554085.68007132","99","52201","N","20230121120027"
"307","110081346","1","192337.26766181","545216.90090048","000009","52201","N","20230210120006"
"308","110081928","92","201306.32541518","559958.71385483","210","52201","N","20230126120003"
"309","110081929","93","202002.47176720","559208.49652753","433","52201","N","20230130120010"
"310","110081931","94","200583.97192342","560529.41796332","218","52201","N","20230209120003"
"311","110081933","95","202342.34246581","560321.01265157","103","52201","N","20230205120012"
"312","110081934","96","202001.07160468","560883.96193053","205","52201","N","20230118120006"
"313","110081935","97","202072.69721414","559046.49719953","434","52201","N","20230130120010"
"314","110081937","99","202270.49261986","560211.04230903","102","52205","N","20221201120014"
"315","110081938","100","201951.95203633","561440.64883323","63","52201","N","20230219120021"
"316","110081939","101","202070.92494592","557116.18846117","310","52201","N","20230115120014"
"317","110081940","102","203078.27759860","563271.05855895","133","52201","N","20230111120005"
"318","110081941","103","201883.82756377","560077.46557175","101","52201","N","20230205120012"
"319","110081942","104","203939.90076196","561781.27602590","104","52201","N","20230214120039"
"320","110081946","108","190276.72866562","542673.27969633","000080","52201","N","20230112120008"
"321","110081947","109","186808.41983932","543463.27866417","000081","52201","N","20230209120003"
"322","110081948","110","186753.45520393","545022.86022570","000082","52201","N","20230106120005"
"323","110081949","111","189653.00132940","544427.10242364","000083","52201","N","20230209120003"
"324","110081950","112","190316.19880235","542493.71241752","000084","52201","N","20230111120005"
"325","110081951","113","191784.67559748","538136.11731766","000087","52201","N","20230218120027"
"326","110081953","115","191551.13460032","541354.61124632","000086","52201","N","20230219120021"
"327","110081954","116","192228.34669285","539280.79476839","000088","52201","N","20230214120039"
"328","110081955","117","190585.11256435","543128.63691061","000089","52201","N","20230215120054"
"329","110081956","118","191795.34686100","539584.23164390","000001","52201","N","20230211120001"
"330","110081959","120","186815.46362670","545047.80389361","000014","52201","N","20230106120005"
"331","110082372","122","196299.00294753","543519.28121291","000012","52201","N","20230207120026"
"332","110082367","124","195918.94005381","545691.85825267","000003","52201","N","20230215120054"
"333","110082374","125","194281.45855828","542194.06222388","000013","52201","N","20230122120013"
"334","110082376","127","196389.76980253","545488.21789901","000022","52201","N","20230210120006"
"335","110082377","128","196103.92357982","545947.08900483","000023","52201","N","20230207120026"
"336","110082379","130","196438.69066011","545296.65439966","000026","52201","N","20230210120006"
"337","110082380","131","194876.77132179","545754.93988419","000027","52201","N","20230211120001"
"338","110081502","351","200485.86924829","554844.35471331","76","52201","N","20230107120004"
"339","110081503","352","204524.62774967","557843.71541362","77","52201","N","20230112120008"
"340","110080020","442","200750.93439978","554607.63495053","212","52201","N","20230216120041"
"341","110080022","444","200777.45529722","553664.52148344","208","52201","N","20230121120027"
"342","110080023","445","201894.83986738","554909.08321991","213","52201","N","20230214120039"
"343","110080024","446","204585.29901088","557390.71891380","211","52201","N","20230123120013"
"344","110080025","447","199728.50099310","556312.80449425","204","52201","N","20230209120003"
"345","110080026","448","192656.38876887","553799.81751101","56","52201","N","20230121120027"
"346","110080027","449","193923.11838760","558478.19335840","52","52201","N","20230202120009"
"347","110080030","451","192436.05620538","552336.95498254","41","52201","N","20230216120041"
"348","110080031","452","191972.54288665","554384.19107578","54","52201","N","20230111120005"
"349","110080032","453","195705.68084358","555164.49557405","56","52201","N","20230130120010"
"350","110080033","454","195646.35573731","555661.51678319","57","52201","N","20230119120008"
"351","110080034","455","191554.05977238","555160.61319885","55","52201","N","20230119120008"
"352","110080037","456","192199.01992356","558500.80368084","60","52201","N","20230216120041"
"353","110080040","459","193244.57714397","558364.76722062","62","52201","N","20230129120013"
"354","110080041","460","194057.78057944","550975.18514418","22","52201","N","20230211120001"
"355","110080042","461","193845.81920073","551193.42250527","23","52201","N","20230218120027"
"356","110080043","462","191729.82183051","554033.91458179","58","52201","N","20230111120005"
"357","110082343","463","196289.60231043","545591.39494055","000046","52201","N","20230210120006"
"358","110082344","464","197261.72519054","544969.57239525","000047","52201","N","20230117120003"
"359","110082345","465","197132.24969037","545006.20131538","000048","52201","N","20230118120006"
"360","110082347","467","194341.80724146","545430.42730696","000050","52205","N","20230106120005"
"361","110082348","468","197455.88111075","545034.26081937","000051","52201","N","20230118120006"
"362","110082350","470","192593.84228178","543079.03712671","000019","52201","N","20230124120011"
"363","110082351","471","193186.82876573","542426.59674195","000020","52201","N","20230219120021"
"364","110082352","472","193852.80151601","543524.59933744","000021","52201","N","20230212120018"
"365","110082355","475","196350.54577884","543390.88389461","000023","52201","N","20230207120026"
"366","110082356","476","196345.61053107","542789.69414749","000026","52201","N","20230211120001"
"367","110082357","477","194364.99544837","540722.31196675","000056","52201","N","20230219120021"
"368","110082358","478","193947.64748410","541224.11765822","000031","52201","N","20230204120010"
"369","110082362","482","192109.40640724","543252.92775012","000077","52201","N","20230109120013"
"370","110082363","483","197325.52625641","544999.00866826","000079","52201","N","20230119120008"
"371","110082364","484","197756.97148825","542089.85226098","000082","52201","N","20230215120054"
"372","110080571","661","199709.07465413","552150.76257920","4-32","52201","N","20230214120039"
"373","110080104","662","191707.75812769","557464.87580328","9","52201","N","20230218120027"
"374","110080108","663","192367.34610448","558778.09448512","13","52201","N","20230214120039"
"375","110080621","488","198835.46357805","551039.55000754","000260","52201","N","20230204120010"
"376","110081072","490","205881.88651251","548361.89239124","000041","52201","N","20230112120008"
"377","110081074","491","207768.64061470","552009.62303858","000057","52201","N","20230218120027"
"378","110081075","492","202356.19608715","549917.65593145","000052","52201","N","20230207120026"
"379","110081076","493","204580.94942830","548562.94395251","000058","52201","N","20230130120010"
"380","110081077","494","204993.89286931","549045.95164942","000050","52201","N","20230116120007"
"381","110081078","495","206972.55575002","548578.43053105","000055","52201","N","20230207120026"
"382","110081079","496","202723.39004127","551056.74235541","000051","52201","N","20230205120012"
"383","110081083","498","205892.94783464","548397.91873844","000060","52201","N","20230112120008"
"384","110081084","499","206413.13178580","549565.63828243","000063","52201","N","20230216120041"
"385","110080614","500","198396.74605418","550725.00734155","000252","52201","N","20221218120015"
"386","110081086","502","207054.87218721","551908.06817515","000064","52201","N","20230209120003"
"387","110081087","503","206530.21661060","550720.68227449","000066","52201","N","20230215120054"
"388","110081088","504","208133.22773725","549852.60751934","000059","52201","N","20230204120010"
"389","110081090","506","206935.15377069","548428.95503324","000068","52201","N","20230216120041"
"390","110081091","507","208093.86216797","548992.63398383","000061","52201","N","20230204120010"
